,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Locality Name,Project Name
,Avg price per sqft,Price range per sqft,Price rise,Properties,Trend,View properties,"{""city"":""Hyderabad"",""typeAheadType"":""locality"",""templatePath"":""doT!modules/typeAhead/views/locality"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search locality in hyderabad""}","{""city"":""Hyderabad"",""typeAheadType"":""project"",""templatePath"":""doT!modules/typeAhead/views/project"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search project in hyderabad""}"
20,"4,443.06 / sqft","198 - 4,545 / sqft",-37.9%,,See trend,View 36 properties,Kompally,
21,"25,874.43 / sqft","547 - 27,322 / sqft",42%,,See trend,View 79 properties,Kollur,
22,"16,440.26 / sqft","556 - 16,666 / sqft",536.9%,,See trend,View 323 properties,Indresham,
23,"8,390.52 / sqft","3,222 - 9,150 / sqft",94.1%,,See trend,View 4 properties,Toli Chowki,
24,"11,111.11 / sqft","556 - 11,111 / sqft",115.4%,,See trend,View 79 properties,Nanakramguda,
25,"9,519.75 / sqft","100 - 10,000 / sqft",114.7%,,See trend,View 314 properties,Kadthal,
26,"40,234.27 / sqft","111 - 45,000 / sqft",50.8%,,See trend,View 249 properties,Shamshabad,
27,"6,928.25 / sqft","833 - 10,890 / sqft",91%,,See trend,View 23 properties,Nagole,
28,"6,833.33 / sqft","889 - 12,778 / sqft",-,,See trend,View 2 properties,Pragathi Nagar Kukatpally,
29,"8,888.89 / sqft","1,667 - 10,000 / sqft",355.4%,,See trend,View 5 properties,Narsingi,
30,"1,669.17 / sqft","386 - 1,669 / sqft",-23.1%,,See trend,View 240 properties,BHEL,
31,"14,765.48 / sqft","648 - 15,500 / sqft",142.5%,,See trend,View 253 properties,Ghatkesar,
32,"9,515.59 / sqft","231 - 37,879 / sqft",21%,,See trend,View 276 properties,Yadagirigutta,
33,"25,260.47 / sqft","150 - 26,000 / sqft",73.9%,,See trend,View 183 properties,Isnapur,
34,"11,590.77 / sqft","710 - 16,173 / sqft",884.9%,,See trend,View 10 properties,Banjara Hills,
35,"7,63.49 / sqft","3,333 - 7,407 / sqft",1180.4%,,See trend,View 14 properties,Bandlaguda Jagir,
36,"1,500 / sqft","386 - 1,500 / sqft",28.5%,,See trend,View 221 properties,KPHB,
37,"5,77.44 / sqft","2,889 - 6,061 / sqft",23.7%,,See trend,View 3 properties,Mallampet,
38,"5,868.76 / sqft","189 - 6,155 / sqft",105.4%,,See trend,View 232 properties,Bhongir,
39,"6,928.36 / sqft","556 - 7,000 / sqft",-,,See trend,View 228 properties,Rudraram,
40,"7,241.68 / sqft","2,533 - 7,242 / sqft",-,,See trend,View 6 properties,Puppalaguda,
41,"31,527.19 / sqft","112 - 32,500 / sqft",24.3%,,See trend,View 225 properties,Warangal Highway Aler,
42,"18,194.17 / sqft","148 - 20,000 / sqft",7.7%,,See trend,View 206 properties,Shankarpalli,
